"","Date","Open","High","Low","Close","Adj.Close"
"1816","2010-11-15",1.369563,1.374703,1.359194,1.369319,1.369319
"1817","2010-11-16",1.357607,1.365318,1.354206,1.357478,1.357478
"1818","2010-11-17",1.349382,1.355307,1.346547,1.349054,1.349054
"1819","2010-11-18",1.354775,1.366792,1.354518,1.355399,1.355399
"1820","2010-11-19",1.365934,1.373098,1.36097,1.365728,1.365728
"1821","2010-11-22",1.374495,1.378645,1.361007,1.374438,1.374438
"1822","2010-11-23",1.360193,1.361359,1.340087,1.360193,1.360193
"1823","2010-11-24",1.338778,1.341886,1.328992,1.338634,1.338634
"1824","2010-11-25",1.335791,1.337506,1.328904,1.335791,1.335791
"1825","2010-11-26",1.334223,1.33506,1.320446,1.333974,1.333974
"1826","2010-11-29",1.324275,1.329752,1.306797,1.323802,1.323802
"1827","2010-11-30",1.310152,1.315028,1.297252,1.310393,1.310393
"1828","2010-12-01",1.299495,1.313456,1.297707,1.299207,1.299207
"1829","2010-12-02",1.31256,1.321196,1.306506,1.312491,1.312491
"1830","2010-12-03",1.321301,1.337667,1.319505,1.321598,1.321598
"1831","2010-12-06",1.341706,1.341976,1.325047,1.341598,1.341598
"1832","2010-12-07",1.329045,1.3398,1.328374,1.328692,1.328692
"1833","2010-12-08",1.324872,1.328004,1.3186,1.324468,1.324468
"1834","2010-12-09",1.324538,1.332303,1.317402,1.325082,1.325082
"1835","2010-12-10",1.324065,1.328198,1.318392,1.324205,1.324205
"1836","2010-12-13",1.319871,1.338258,1.318392,1.319714,1.319714
"1837","2010-12-14",1.339405,1.349418,1.336702,1.339549,1.339549
"1838","2010-12-15",1.336005,1.337793,1.328692,1.336095,1.336095
"1839","2010-12-16",1.322629,1.326102,1.318461,1.322401,1.322401
"1840","2010-12-17",1.3241,1.336005,1.314302,1.323995,1.323995
"1841","2010-12-20",1.316378,1.3182,1.309895,1.3165,1.3165
"1842","2010-12-21",1.311923,1.319993,1.311906,1.311802,1.311802
"1843","2010-12-22",1.309175,1.317992,1.307993,1.309003,1.309003
"1844","2010-12-23",1.311596,1.315201,1.305807,1.311544,1.311544
"1845","2010-12-24",1.31237,1.314665,1.309964,1.312715,1.312715
"1846","2010-12-27",1.308198,1.316985,1.308198,1.307976,1.307976
"1847","2010-12-28",1.318896,1.32744,1.314199,1.318965,1.318965
"1848","2010-12-29",1.308695,1.315634,1.308695,1.308627,1.308627
"1849","2010-12-30",1.322104,1.331097,1.322104,1.322454,1.322454
"1850","2010-12-31",1.330106,1.342372,1.328992,1.330123,1.330123
"1851","2011-01-03",1.335595,1.336505,1.325293,1.335791,1.335791
"1852","2011-01-04",1.336005,1.343093,1.331824,1.335684,1.335684
"1853","2011-01-05",1.332392,1.332392,1.312905,1.332108,1.332108
"1854","2011-01-06",1.316101,1.317037,1.303373,1.315686,1.315686
"1855","2011-01-07",1.298904,1.302134,1.293895,1.297993,1.297993
"1856","2011-01-10",1.289807,1.294834,1.287714,1.289507,1.289507
"1857","2011-01-11",1.295908,1.2986,1.291005,1.296496,1.296496
"1858","2011-01-12",1.2986,1.306319,1.296664,1.298398,1.298398
"1859","2011-01-13",1.312801,1.335292,1.309192,1.312836,1.312836
"1860","2011-01-14",1.335113,1.344899,1.332605,1.335327,1.335327
"1861","2011-01-17",1.337614,1.337614,1.325293,1.338025,1.338025
"1862","2011-01-18",1.328374,1.346112,1.325592,1.328392,1.328392
"1863","2011-01-19",1.338169,1.353675,1.338169,1.337811,1.337811
"1864","2011-01-20",1.345316,1.351808,1.340303,1.345207,1.345207
"1865","2011-01-21",1.346566,1.358899,1.345098,1.346801,1.346801
"1866","2011-01-24",1.362194,1.368008,1.354701,1.361953,1.361953
"1867","2011-01-25",1.364405,1.368401,1.357589,1.364405,1.364405
"1868","2011-01-26",1.368794,1.371761,1.36502,1.368607,1.368607
"1869","2011-01-27",1.370802,1.375629,1.364294,1.371009,1.371009
"1870","2011-01-28",1.372495,1.374703,1.3616,1.372307,1.372307
"1871","2011-01-31",1.357607,1.373796,1.357294,1.357276,1.357276
"1872","2011-02-01",1.371498,1.379329,1.370483,1.371385,1.371385
"1873","2011-02-02",1.382782,1.386001,1.378151,1.382992,1.382992
"1874","2011-02-03",1.381578,1.382457,1.361897,1.381788,1.381788
"1875","2011-02-04",1.362899,1.364759,1.354591,1.362454,1.362454
"1876","2011-02-07",1.357515,1.362639,1.351004,1.357497,1.357497
"1877","2011-02-08",1.359416,1.367465,1.357405,1.359194,1.359194
"1878","2011-02-09",1.362324,1.371893,1.361211,1.362695,1.362695
"1879","2011-02-10",1.371893,1.372816,1.358142,1.3721,1.3721
"1880","2011-02-11",1.360544,1.362157,1.350986,1.360193,1.360193
"1881","2011-02-14",1.351516,1.355896,1.343165,1.351004,1.351004
"1882","2011-02-15",1.348309,1.354701,1.346203,1.348109,1.348109
"1883","2011-02-16",1.349601,1.356797,1.346547,1.349856,1.349856
"1884","2011-02-17",1.357663,1.361063,1.353894,1.357534,1.357534
"1885","2011-02-18",1.362212,1.364517,1.354793,1.362602,1.362602
"1886","2011-02-21",1.371366,1.371366,1.365001,1.371347,1.371347
"1887","2011-02-22",1.36812,1.370051,1.352795,1.368232,1.368232
"1888","2011-02-23",1.367409,1.378398,1.367409,1.367372,1.367372
"1889","2011-02-24",1.375781,1.381693,1.370802,1.376406,1.376406
"1890","2011-02-25",1.382208,1.383796,1.372476,1.381998,1.381998
"1891","2011-02-28",1.373608,1.385329,1.37131,1.373438,1.373438
"1892","2011-03-01",1.382743,1.385291,1.378835,1.382151,1.382151
"1893","2011-03-02",1.376955,1.389005,1.374457,1.377183,1.377183
"1894","2011-03-03",1.386751,1.397507,1.383451,1.386655,1.386655
"1895","2011-03-04",1.395907,1.400697,1.3947,1.395888,1.395888
"1896","2011-03-07",1.398875,1.403607,1.395888,1.399071,1.399071
"1897","2011-03-08",1.396492,1.398993,1.386809,1.396394,1.396394
"1898","2011-03-09",1.389449,1.394078,1.385905,1.389796,1.389796
"1899","2011-03-10",1.390473,1.392506,1.379501,1.390221,1.390221
"1900","2011-03-11",1.3803,1.384236,1.375421,1.380129,1.380129
"1901","2011-03-14",1.393476,1.397937,1.390666,1.393456,1.393456
"1902","2011-03-15",1.399032,1.400011,1.385809,1.399208,1.399208
"1903","2011-03-16",1.398562,1.40007,1.391498,1.398621,1.398621
"1904","2011-03-17",1.388407,1.404692,1.388407,1.388484,1.388484
"1905","2011-03-18",1.403509,1.414547,1.398328,1.403292,1.403292
"1906","2011-03-21",1.416792,1.420192,1.414587,1.417053,1.417053
"1907","2011-03-22",1.421848,1.424806,1.418078,1.421707,1.421707
"1908","2011-03-23",1.417254,1.421403,1.411094,1.416812,1.416812
"1909","2011-03-24",1.410855,1.42102,1.4056,1.410596,1.410596
"1910","2011-03-25",1.416972,1.419366,1.411373,1.417193,1.417193
"1911","2011-03-28",1.402505,1.411433,1.402406,1.402603,1.402603
"1912","2011-03-29",1.407717,1.415008,1.405106,1.407975,1.407975
"1913","2011-03-30",1.411293,1.412908,1.405402,1.411114,1.411114
"1914","2011-03-31",1.41219,1.423305,1.411891,1.41213,1.41213
"1915","2011-04-01",1.416009,1.421504,1.40647,1.415869,1.415869
"1916","2011-04-04",1.422394,1.426859,1.419487,1.422333,1.422333
"1917","2011-04-05",1.421929,1.423285,1.415609,1.42201,1.42201
"1918","2011-04-06",1.42201,1.4347,1.42201,1.421909,1.421909
"1919","2011-04-07",1.43361,1.43361,1.424806,1.433527,1.433527
"1920","2011-04-08",1.430104,1.444314,1.429307,1.430206,1.430206
"1921","2011-04-11",1.44609,1.448331,1.442169,1.446215,1.446215
"1922","2011-04-12",1.443439,1.451695,1.438042,1.443793,1.443793
"1923","2011-04-13",1.447492,1.451927,1.445776,1.447639,1.447639
"1924","2011-04-14",1.444607,1.451505,1.436844,1.44421,1.44421
"1925","2011-04-15",1.448604,1.450495,1.439429,1.44321,1.44321
"1926","2011-04-18",1.441691,1.442003,1.416591,1.441296,1.441296
"1927","2011-04-19",1.422273,1.432809,1.420757,1.422394,1.422394
"1928","2011-04-20",1.433897,1.453953,1.43361,1.433795,1.433795
"1929","2011-04-21",1.4514,1.464794,1.450873,1.4514,1.4514
"1930","2011-04-22",1.455307,1.458896,1.4537,1.455498,1.455498
"1931","2011-04-25",1.455519,1.462566,1.453045,1.45571,1.45571
"1932","2011-04-26",1.45779,1.464901,1.449969,1.457896,1.457896
"1933","2011-04-27",1.46899,1.470999,1.463807,1.468795,1.468795
"1934","2011-04-28",1.478,1.488206,1.477847,1.478,1.478
"1935","2011-04-29",1.484296,1.487896,1.480494,1.484406,1.484406
"1936","2011-05-02",1.48056,1.490246,1.477127,1.479399,1.479399
"1937","2011-05-03",1.482492,1.488738,1.475797,1.482382,1.482382
"1938","2011-05-04",1.483503,1.493808,1.477891,1.483327,1.483327
"1939","2011-05-05",1.482404,1.489736,1.45813,1.482975,1.482975
"1940","2011-05-06",1.454017,1.458704,1.446697,1.45444,1.45444
"1941","2011-05-09",1.434597,1.444043,1.425801,1.435297,1.435297
"1942","2011-05-10",1.437546,1.439408,1.427491,1.437608,1.437608
"1943","2011-05-11",1.441109,1.442231,1.426574,1.441109,1.441109
"1944","2011-05-12",1.421282,1.425578,1.412609,1.4211,1.4211
"1945","2011-05-13",1.423609,1.434,1.414207,1.423792,1.423792
"1946","2011-05-16",1.407559,1.424603,1.405086,1.407796,1.407796
"1947","2011-05-17",1.415809,1.422293,1.412549,1.415809,1.415809
"1948","2011-05-18",1.4269,1.428653,1.419628,1.4269,1.4269
"1949","2011-05-19",1.425618,1.430595,1.4211,1.425517,1.425517
"1950","2011-05-20",1.431803,1.434391,1.414507,1.431619,1.431619
"1951","2011-05-23",1.410875,1.413468,1.397604,1.410576,1.410576
"1952","2011-05-24",1.403706,1.413308,1.400423,1.403666,1.403666
"1953","2011-05-25",1.40992,1.411672,1.401797,1.4099,1.4099
"1954","2011-05-26",1.408232,1.420495,1.407024,1.40849,1.40849
"1955","2011-05-27",1.413108,1.430308,1.412829,1.413507,1.413507
"1956","2011-05-30",1.42949,1.430554,1.425984,1.429736,1.429736
"1957","2011-05-31",1.432418,1.442294,1.432418,1.432234,1.432234
"1958","2011-06-01",1.442752,1.445776,1.438807,1.442793,1.442793
"1959","2011-06-02",1.434597,1.448394,1.432993,1.434494,1.434494
"1960","2011-06-03",1.448708,1.460494,1.445985,1.448604,1.448604
"1961","2011-06-06",1.46561,1.465717,1.459534,1.465502,1.465502
"1962","2011-06-07",1.458151,1.469184,1.456707,1.4583,1.4583
"1963","2011-06-08",1.468795,1.469011,1.457237,1.468601,1.468601
"1964","2011-06-09",1.459897,1.464558,1.448205,1.460195,1.460195
"1965","2011-06-10",1.451231,1.454799,1.435709,1.451568,1.451568
"1966","2011-06-13",1.433363,1.440341,1.432603,1.43326,1.43326
"1967","2011-06-14",1.441753,1.448604,1.438104,1.441691,1.441691
"1968","2011-06-15",1.444899,1.444961,1.420959,1.445003,1.445003
"1969","2011-06-16",1.418641,1.420031,1.407796,1.418198,1.418198
"1970","2011-06-17",1.419991,1.433836,1.412948,1.41991,1.41991
"1971","2011-06-20",1.429409,1.432501,1.419426,1.42851,1.42851
"1972","2011-06-21",1.43248,1.440403,1.431025,1.432542,1.432542
"1973","2011-06-22",1.438021,1.443793,1.434905,1.438166,1.438166
"1974","2011-06-23",1.431803,1.433404,1.413128,1.431434,1.431434
"1975","2011-06-24",1.427307,1.430595,1.41611,1.427002,1.427002
"1976","2011-06-27",1.417595,1.429409,1.410795,1.417133,1.417133
"1977","2011-06-28",1.431701,1.439595,1.42442,1.43168,1.43168
"1978","2011-06-29",1.435812,1.444794,1.433404,1.435791,1.435791
"1979","2011-06-30",1.4481,1.452707,1.444899,1.44789,1.44789
"1980","2011-07-01",1.449591,1.454609,1.444607,1.449695,1.449695
"1981","2011-07-04",1.454609,1.457705,1.449801,1.453996,1.453996
"1982","2011-07-05",1.455307,1.455307,1.444565,1.455307,1.455307
"1983","2011-07-06",1.442398,1.446655,1.429,1.442814,1.442814
"1984","2011-07-07",1.433199,1.437401,1.422333,1.433158,1.433158
"1985","2011-07-08",1.436616,1.436885,1.421403,1.436451,1.436451
"1986","2011-07-11",1.420495,1.422576,1.398895,1.420192,1.420192
"1987","2011-07-12",1.404139,1.404692,1.384198,1.40406,1.40406
"1988","2011-07-13",1.396902,1.419205,1.396726,1.396902,1.396902
"1989","2011-07-14",1.42292,1.427409,1.415088,1.423427,1.423427
"1990","2011-07-15",1.415809,1.419608,1.409642,1.415729,1.415729
"1991","2011-07-18",1.411931,1.413208,1.401797,1.41231,1.41231
"1992","2011-07-19",1.411094,1.421464,1.407301,1.411194,1.411194
"1993","2011-07-20",1.417394,1.423792,1.413488,1.417294,1.417294
"1994","2011-07-21",1.4269,1.439781,1.414507,1.427002,1.427002
"1995","2011-07-22",1.441795,1.443522,1.432706,1.442003,1.442003
"1996","2011-07-25",1.438166,1.440715,1.43287,1.438849,1.438849
"1997","2011-07-26",1.436782,1.452095,1.436059,1.437153,1.437153
"1998","2011-07-27",1.45041,1.453509,1.436307,1.45081,1.45081
"1999","2011-07-28",1.437546,1.44003,1.425801,1.437298,1.437298
"2000","2011-07-29",1.433404,1.440632,1.423852,1.433199,1.433199
"2001","2011-08-01",1.436534,1.445128,1.418822,1.436369,1.436369
"2002","2011-08-02",1.427124,1.428347,1.415288,1.426208,1.426208
"2003","2011-08-03",1.417595,1.434391,1.414487,1.417334,1.417334
"2004","2011-08-04",1.434535,1.43641,1.411512,1.435297,1.435297
"2005","2011-08-05",1.406648,1.422536,1.405797,1.406707,1.406707
"2006","2011-08-08",1.430063,1.439947,1.413328,1.429409,1.429409
"2007","2011-08-09",1.417716,1.428571,1.415709,1.417073,1.417073
"2008","2011-08-10",1.438001,1.440051,1.41633,1.438311,1.438311
"2009","2011-08-11",1.412868,1.428592,1.410656,1.412469,1.412469
"2010","2011-08-12",1.422192,1.428796,1.415088,1.422637,1.422637
"2011","2011-08-15",1.427287,1.447492,1.426737,1.427409,1.427409
"2012","2011-08-16",1.443835,1.444481,1.435791,1.443835,1.443835
"2013","2011-08-17",1.440196,1.451379,1.433897,1.439802,1.439802
"2014","2011-08-18",1.442939,1.445108,1.427898,1.442918,1.442918
"2015","2011-08-19",1.43207,1.44517,1.426595,1.432439,1.432439
"2016","2011-08-22",1.436947,1.443397,1.435008,1.436926,1.436926
"2017","2011-08-23",1.436101,1.449801,1.435585,1.436101,1.436101
"2018","2011-08-24",1.44371,1.448079,1.438952,1.44371,1.44371
"2019","2011-08-25",1.441109,1.447304,1.433363,1.441234,1.441234
"2020","2011-08-26",1.437401,1.447492,1.433219,1.437298,1.437298
"2021","2011-08-29",1.449675,1.454694,1.446697,1.449506,1.449506
"2022","2011-08-30",1.452602,1.453235,1.43887,1.452433,1.452433
"2023","2011-08-31",1.44346,1.446801,1.439802,1.443314,1.443314
"2024","2011-09-01",1.437505,1.437794,1.422961,1.437463,1.437463
"2025","2011-09-02",1.426208,1.428796,1.419305,1.426208,1.426208
"2026","2011-09-05",1.415568,1.417193,1.406588,1.415769,1.415769
"2027","2011-09-06",1.406905,1.42369,1.397526,1.406312,1.406312
"2028","2011-09-07",1.400384,1.413068,1.400207,1.400325,1.400325
"2029","2011-09-08",1.408391,1.409006,1.39435,1.40857,1.40857
"2030","2011-09-09",1.390395,1.393806,1.364908,1.390414,1.390414
"2031","2011-09-12",1.359601,1.368701,1.351497,1.360082,1.360082
"2032","2011-09-13",1.365803,1.3721,1.355914,1.366027,1.366027
"2033","2011-09-14",1.368101,1.374854,1.359305,1.368607,1.368607
"2034","2011-09-15",1.374835,1.392758,1.370407,1.374608,1.374608
"2035","2011-09-16",1.386732,1.388098,1.375894,1.386905,1.386905
"2036","2011-09-19",1.370351,1.370689,1.359139,1.370145,1.370145
"2037","2011-09-20",1.360415,1.372665,1.359952,1.360563,1.360563
"2038","2011-09-21",1.369094,1.373098,1.363754,1.369394,1.369394
"2039","2011-09-22",1.358474,1.358567,1.339208,1.358603,1.358603
"2040","2011-09-23",1.347909,1.356594,1.342102,1.34809,1.34809
"2041","2011-09-26",1.3545,1.3545,1.336702,1.354701,1.354701
"2042","2011-09-27",1.352009,1.365505,1.348072,1.351808,1.351808
"2043","2011-09-28",1.358493,1.368401,1.354591,1.358234,1.358234
"2044","2011-09-29",1.354555,1.367708,1.3521,1.353766,1.353766
"2045","2011-09-30",1.358197,1.359897,1.341526,1.358585,1.358585
"2046","2011-10-03",1.336095,1.338079,1.324503,1.336095,1.336095
"2047","2011-10-04",1.319418,1.329893,1.314942,1.319505,1.319505
"2048","2011-10-05",1.332747,1.337238,1.326612,1.333013,1.333013
"2049","2011-10-06",1.334045,1.343292,1.324293,1.333992,1.333992
"2050","2011-10-07",1.342696,1.352174,1.340393,1.342895,1.342895
"2051","2011-10-10",1.338598,1.369,1.338097,1.338598,1.338598
"2052","2011-10-11",1.363308,1.367409,1.356999,1.36355,1.36355
"2053","2011-10-12",1.364405,1.381597,1.35864,1.364573,1.364573
"2054","2011-10-13",1.378873,1.382304,1.368607,1.379196,1.379196
"2055","2011-10-14",1.374306,1.389294,1.372476,1.373551,1.373551
"2056","2011-10-17",1.388253,1.391304,1.374098,1.387906,1.387906
"2057","2011-10-18",1.374344,1.378683,1.365449,1.3744,1.3744
"2058","2011-10-19",1.3734,1.386693,1.372646,1.374004,1.374004
"2059","2011-10-20",1.376406,1.384006,1.365934,1.3765,1.3765
"2060","2011-10-21",1.377999,1.389796,1.371009,1.377904,1.377904
"2061","2011-10-24",1.384792,1.395401,1.382304,1.384773,1.384773
"2062","2011-10-25",1.392409,1.395634,1.385003,1.392234,1.392234
"2063","2011-10-26",1.390395,1.396687,1.380491,1.390453,1.390453
"2064","2011-10-27",1.387213,1.418299,1.386809,1.387694,1.387694
"2065","2011-10-28",1.417495,1.420091,1.413927,1.417394,1.417394
"2066","2011-10-31",1.414207,1.416952,1.393592,1.414007,1.414007
"2067","2011-11-01",1.386463,1.386982,1.361192,1.386001,1.386001
"2068","2011-11-02",1.365803,1.38259,1.365803,1.365598,1.365598
"2069","2011-11-03",1.369319,1.382533,1.365784,1.369,1.369
"2070","2011-11-04",1.382285,1.386501,1.371761,1.382992,1.382992
"2071","2011-11-07",1.37952,1.381196,1.368363,1.37893,1.37893
"2072","2011-11-08",1.376008,1.384255,1.373193,1.376008,1.376008
"2073","2011-11-09",1.382705,1.385694,1.355601,1.382648,1.382648
"2074","2011-11-10",1.352741,1.364964,1.3486,1.352667,1.352667
"2075","2011-11-11",1.361192,1.374193,1.358197,1.361007,1.361007
"2076","2011-11-14",1.378797,1.378797,1.362101,1.378702,1.378702
"2077","2011-11-15",1.362695,1.364107,1.351278,1.362416,1.362416
"2078","2011-11-16",1.350877,1.355326,1.343075,1.350713,1.350713
"2079","2011-11-17",1.344303,1.353491,1.342534,1.344104,1.344104
"2080","2011-11-18",1.345497,1.361304,1.344845,1.345804,1.345804
"2081","2011-11-21",1.353601,1.354005,1.343292,1.352997,1.352997
"2082","2011-11-22",1.348636,1.356871,1.347128,1.348436,1.348436
"2083","2011-11-23",1.351443,1.353107,1.335256,1.352192,1.352192
"2084","2011-11-24",1.334704,1.341202,1.332019,1.335203,1.335203
"2085","2011-11-25",1.3328,1.333404,1.321842,1.333102,1.333102
"2086","2011-11-28",1.331026,1.339692,1.327827,1.331345,1.331345
"2087","2011-11-29",1.33076,1.343743,1.328904,1.3317,1.3317
"2088","2011-11-30",1.332392,1.352393,1.326436,1.33241,1.33241
"2089","2011-12-01",1.344231,1.3521,1.341994,1.344393,1.344393
"2090","2011-12-02",1.346747,1.353803,1.341976,1.346692,1.346692
"2091","2011-12-05",1.341742,1.348399,1.340141,1.341904,1.341904
"2092","2011-12-06",1.338473,1.342498,1.334027,1.33867,1.33867
"2093","2011-12-07",1.341202,1.345261,1.335363,1.341202,1.341202
"2094","2011-12-08",1.340105,1.345696,1.331097,1.340375,1.340375
"2095","2011-12-09",1.334543,1.343003,1.328604,1.334543,1.334543
"2096","2011-12-12",1.337095,1.337793,1.321109,1.337167,1.337167
"2097","2011-12-13",1.316569,1.323171,1.309998,1.317107,1.317107
"2098","2011-12-14",1.302796,1.305909,1.295404,1.301914,1.301914
"2099","2011-12-15",1.298735,1.304904,1.296294,1.298802,1.298802
"2100","2011-12-16",1.302999,1.308404,1.300695,1.302966,1.302966
"2101","2011-12-19",1.303594,1.304104,1.298499,1.303696,1.303696
"2102","2011-12-20",1.300796,1.313198,1.299697,1.300779,1.300779
"2103","2011-12-21",1.308798,1.319418,1.302847,1.308798,1.308798
"2104","2011-12-22",1.303798,1.311906,1.302355,1.304002,1.304002
"2105","2011-12-23",1.305705,1.309397,1.303305,1.305602,1.305602
"2106","2011-12-26",1.304393,1.308404,1.304393,1.304495,1.304495
"2107","2011-12-27",1.305006,1.308592,1.304495,1.305057,1.305057
"2108","2011-12-28",1.307104,1.307959,1.294733,1.307207,1.307207
"2109","2011-12-29",1.292574,1.294398,1.286124,1.292725,1.292725
"2110","2011-12-30",1.295219,1.299596,1.290606,1.295605,1.295605
"2111","2012-01-02",1.296008,1.296395,1.292257,1.296008,1.296008
"2112","2012-01-03",1.293628,1.306592,1.293628,1.294096,1.294096
"2113","2012-01-04",1.305398,1.307395,1.290206,1.305602,1.305602
"2114","2012-01-05",1.293092,1.294297,1.278527,1.293142,1.293142
"2115","2012-01-06",1.279296,1.281296,1.270406,1.279607,1.279607
"2116","2012-01-09",1.267957,1.278494,1.267957,1.268038,1.268038
"2117","2012-01-10",1.277596,1.281706,1.274551,1.277596,1.277596
"2118","2012-01-11",1.275429,1.278838,1.267395,1.275185,1.275185
"2119","2012-01-12",1.272394,1.282907,1.270099,1.272394,1.272394
"2120","2012-01-13",1.282545,1.287498,1.265182,1.282051,1.282051
"2121","2012-01-16",1.264846,1.268295,1.262866,1.264702,1.264702
"2122","2012-01-17",1.266737,1.280361,1.266672,1.266705,1.266705
"2123","2012-01-18",1.274827,1.284406,1.273723,1.2746,1.2746
"2124","2012-01-19",1.286306,1.292107,1.284505,1.286604,1.286604
"2125","2012-01-20",1.29616,1.298448,1.288776,1.296496,1.296496
"2126","2012-01-23",1.289042,1.304512,1.288378,1.288477,1.288477
"2127","2012-01-24",1.302507,1.305636,1.295824,1.302694,1.302694
